team,home,rank_aprill,avg_team_value,team_value(mln euro),GDP_pc_year_bf_euro,Avg_age,players_abroad,coach_from_country,top_10clubs_players
Germany,1,16,29.22,672,43361.1771204321,28.2,7,1,8
Scotland,0,39,9.48,227.4,47923.4822383348,27.5,17,1,1
Hungary,0,26,6.67,166.65,16336.2411254742,26.3,19,0,3
Switzerland,0,19,8.58,223.2,90057.0359422233,27.6,22,1,1
Spain,0,8,34.85,906,27702.7452993409,26.7,9,1,5
Croatia,0,10,12.43,286,16610.3180919751,27.6,19,1,3
Italy,0,9,27.04,757,33281.3366682385,26,5,1,8
Albania,0,66,4.56,123.05,5155.29085964151,27,26,0,1
Poland,0,28,7.66,199.1,17117.3281008593,28,22,1,1
Netherlands,0,7,27.73,610,50546.7893728169,27,16,1,7
Slovenia,0,57,5.45,130.85,25349.7585533515,27,22,1,1
Denmark,0,21,14.74,368.5,60345.5573176803,26,23,1,1
Serbia,0,33,10.35,227.6,7493.16180160028,27.1,21,1,1
England,0,4,52.39,1470,47923.4822383348,25.9,3,1,10
Romania,0,46,3.42,95.83,12188.642461532,26.3,21,1,0
Ukraine,0,22,12.66,354.5,14055.1055648777,25.5,11,1,2
Belgium,0,3,21.63,540.8,44184.6852868064,25.8,22,0,3
Slovakia,0,48,4.22,126.5,18877.9593761663,27.1,27,0,0
Austria,0,25,10.22,265.8,46697.8565193913,25.5,18,0,5
France,0,2,52.7,1210,38816.4792795643,26.1,15,1,11
Turkey,0,40,11.24,303.45,2032.85009765625,25.4,15,0,4
Georgia,0,75,5.78,150.2,5438.60417739969,27.3,25,0,0
Portugal,0,6,33.04,1060,22125.9391947109,26.6,22,0,8
CzechRepublic,0,36,6.38,146.65,20237.2945527073,25,10,1,0
